t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-90.0,109.0909090909091,nan,nan,nan
-90.0,112.72727272727272,nan,nan,nan
-90.0,116.36363636363636,nan,nan,nan
-90.0,120.0,nan,nan,nan
-90.0,123.63636363636363,nan,nan,nan
-90.0,127.27272727272727,nan,nan,nan
-90.0,130.9090909090909,nan,nan,nan
-90.0,134.54545454545453,nan,nan,nan
-90.0,138.1818181818182,nan,nan,nan
-90.0,141.8181818181818,nan,nan,nan
-90.0,145.45454545454544,nan,nan,nan
-90.0,149.0909090909091,nan,nan,nan
-90.0,152.72727272727272,nan,nan,nan
-90.0,156.36363636363635,nan,nan,nan
-90.0,160.0,nan,nan,nan
-90.0,163.63636363636363,nan,nan,nan
-90.0,167.27272727272728,nan,nan,nan
-90.0,170.9090909090909,nan,nan,nan
-90.0,174.54545454545453,nan,nan,nan
-90.0,178.1818181818182,nan,nan,nan
-90.0,181.8181818181818,nan,nan,nan
-90.0,185.45454545454544,nan,nan,nan
-90.0,189.0909090909091,nan,nan,nan
-90.0,192.72727272727272,nan,nan,nan
-90.0,196.36363636363635,nan,nan,nan
-90.0,200.0,nan,nan,nan
-90.0,203.63636363636363,nan,nan,nan
-90.0,207.27272727272725,nan,nan,nan
-90.0,210.9090909090909,nan,nan,nan
-90.0,214.54545454545453,nan,nan,nan
-90.0,218.1818181818182,nan,nan,nan
-90.0,221.8181818181818,nan,nan,nan
-90.0,225.45454545454544,nan,nan,nan
-90.0,229.0909090909091,nan,nan,nan
-90.0,232.72727272727272,nan,nan,nan
-90.0,236.36363636363635,nan,nan,nan
-90.0,240.0,nan,nan,nan
-90.0,243.63636363636363,nan,nan,nan
-90.0,247.27272727272725,nan,nan,nan
-90.0,250.9090909090909,nan,nan,nan
-90.0,254.54545454545453,nan,nan,nan
-90.0,258.1818181818182,nan,nan,nan
-90.0,261.8181818181818,nan,nan,nan
-90.0,265.45454545454544,nan,nan,nan
-90.0,269.09090909090907,nan,nan,nan
-90.0,272.7272727272727,nan,nan,nan
-90.0,276.3636363636364,nan,nan,nan
-90.0,280.0,nan,nan,nan
-90.0,283.6363636363636,nan,nan,nan
-90.0,287.27272727272725,nan,nan,nan
-90.0,290.9090909090909,nan,nan,nan
-90.0,294.54545454545456,nan,nan,nan
-90.0,298.1818181818182,nan,nan,nan
-90.0,301.8181818181818,nan,nan,nan
-90.0,305.45454545454544,nan,nan,nan
-90.0,309.09090909090907,nan,nan,nan
-90.0,312.7272727272727,nan,nan,nan
-90.0,316.3636363636364,nan,nan,nan
-90.0,320.0,nan,nan,nan
-90.0,323.6363636363636,nan,nan,nan
-90.0,327.27272727272725,nan,nan,nan
-90.0,330.9090909090909,nan,nan,nan
-90.0,334.54545454545456,nan,nan,nan
-90.0,338.1818181818182,nan,nan,nan
-90.0,341.8181818181818,nan,nan,nan
-90.0,345.45454545454544,nan,nan,nan
-90.0,349.09090909090907,nan,nan,nan
-90.0,352.7272727272727,nan,nan,nan
-90.0,356.3636363636364,nan,nan,nan
-90.0,360.0,nan,nan,nan
-200.0,0.0,54.15887214401145,-15.891567242918578,14.336708348238899
-200.0,3.6363636363636362,52.378899579767456,-15.891567242918578,14.803583314071163
-200.0,7.2727272727272725,53.131009102640284,-27.470713957200424,13.445296279356553
-200.0,10.909090909090908,51.19939224377707,-27.470713957200424,13.882820450887035
-200.0,14.545454545454545,49.24031359365928,-27.470713957200424,14.483045132000417
-200.0,18.18181818181818,49.952431418062126,-39.04986067148227,12.837814927439128
-200.0,21.818181818181817,47.83976720555103,-39.04986067148227,13.487482740984422
-200.0,25.454545454545453,45.71223272394326,-39.04986067148227,14.324687908895552
-200.0,29.09090909090909,46.41576162560441,-50.62900738576412,12.425164385497139
-200.0,32.72727272727273,44.144502276329746,-50.62900738576412,13.442431101192913
