t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-100.0,240.0,38.59254879673858,205.7952847742637,14.997400505428363
-100.0,243.63636363636363,39.8636742904463,195.21413305197086,14.925589393038265
-100.0,247.27272727272725,41.20154707530579,184.63298132967802,14.888382263584063
-100.0,250.9090909090909,42.613503674645,174.05182960738514,14.886917899836458
-100.0,254.54545454545453,44.107919172269014,163.4706778850923,14.923872877406424
-100.0,258.1818181818182,47.76583528450866,142.30837444050655,14.843662396202802
-100.0,261.8181818181818,nan,nan,nan
-100.0,265.45454545454544,nan,nan,nan
-100.0,269.09090909090907,nan,nan,nan
-100.0,272.7272727272727,nan,nan,nan
-100.0,276.3636363636364,nan,nan,nan
-100.0,280.0,nan,nan,nan
-100.0,283.6363636363636,nan,nan,nan
-100.0,287.27272727272725,nan,nan,nan
-100.0,290.9090909090909,nan,nan,nan
-100.0,294.54545454545456,nan,nan,nan
-100.0,298.1818181818182,nan,nan,nan
-100.0,301.8181818181818,nan,nan,nan
-100.0,305.45454545454544,nan,nan,nan
-100.0,309.09090909090907,nan,nan,nan
-100.0,312.7272727272727,nan,nan,nan
-100.0,316.3636363636364,nan,nan,nan
-100.0,320.0,nan,nan,nan
-100.0,323.6363636363636,nan,nan,nan
-100.0,327.27272727272725,nan,nan,nan
-100.0,330.9090909090909,nan,nan,nan
-100.0,334.54545454545456,nan,nan,nan
-100.0,338.1818181818182,nan,nan,nan
-100.0,341.8181818181818,nan,nan,nan
-100.0,345.45454545454544,nan,nan,nan
-100.0,349.09090909090907,nan,nan,nan
-100.0,352.7272727272727,nan,nan,nan
-100.0,356.3636363636364,nan,nan,nan
-100.0,360.0,nan,nan,nan
